1.777182251308119;
1.7513851036258785;
1.714319887852156;
1.7970487264646948;
1.855688704375794;
1.8191043755878553;
1.8387917916037395;
1.911377374889355;
2.3078095897177207;
2.275757250607782;
2.187713947924223;
2.2226286306741088;
1.8674360265048762;
2.274293405296774;
2.103962651509775;
32.236829290703994;
31.586196093132905;
31.261107567743394;
34.84893548852865;
33.201277942351446;
32.19409943322853;
34.14934724048169;
37.43382294509717;
38.37759189565631;
41.98827960511698;
4.50029152673393;
45.385068362525836;
51.00407775020563;
48.64112525522159;
48.31501430438068;
49.19353742005453;
52.58753634599154;
54.57186953862571;
56.37018812297477;
54.85337812227843;
11.4889949255052;
54.36249787290183;
58.16775721328699;
57.75426789642182;
